timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1727366208753,1013,HTTP Request,201,Created,Thread Group 2-20,text,true,,312,3208,30,54,http://127.0.0.1:4000/submit,1013,0,0
1727366208924,898,HTTP Request,201,Created,Thread Group 2-23,text,true,,312,3184,30,54,http://127.0.0.1:4000/submit,898,0,0
1727366208785,1011,HTTP Request,201,Created,Thread Group 2-21,text,true,,312,3200,30,54,http://127.0.0.1:4000/submit,1010,0,0
1727366208794,1011,HTTP Request,201,Created,Thread Group 2-22,text,true,,312,3176,30,54,http://127.0.0.1:4000/submit,1011,0,0
1727366207109,2730,HTTP Request,201,Created,Thread Group 2-4,text,true,,312,3182,30,54,http://127.0.0.1:4000/submit,2730,0,0
1727366208971,892,HTTP Request,201,Created,Thread Group 2-9,text,true,,312,3174,30,54,http://127.0.0.1:4000/submit,892,0,0
1727366207159,2736,HTTP Request,201,Created,Thread Group 2-26,text,true,,312,3208,30,54,http://127.0.0.1:4000/submit,2736,0,4
1727366208989,946,HTTP Request,201,Created,Thread Group 2-11,text,true,,312,3160,30,54,http://127.0.0.1:4000/submit,946,0,0
1727366209092,878,HTTP Request,201,Created,Thread Group 2-27,text,true,,312,3168,30,54,http://127.0.0.1:4000/submit,878,0,0
1727366209122,852,HTTP Request,201,Created,Thread Group 2-28,text,true,,312,3184,30,54,http://127.0.0.1:4000/submit,851,0,0
1727366209140,850,HTTP Request,201,Created,Thread Group 2-29,text,true,,312,3208,30,54,http://127.0.0.1:4000/submit,850,0,0
1727366209160,848,HTTP Request,201,Created,Thread Group 2-5,text,true,,312,3190,30,54,http://127.0.0.1:4000/submit,848,0,0
1727366209166,871,HTTP Request,201,Created,Thread Group 2-30,text,true,,312,3160,30,54,http://127.0.0.1:4000/submit,871,0,0
1727366209260,813,HTTP Request,201,Created,Thread Group 2-7,text,true,,312,3214,30,54,http://127.0.0.1:4000/submit,812,0,0
1727366209299,811,HTTP Request,201,Created,Thread Group 2-6,text,true,,312,3222,30,54,http://127.0.0.1:4000/submit,811,0,0
1727366209306,834,HTTP Request,201,Created,Thread Group 2-8,text,true,,312,3190,30,54,http://127.0.0.1:4000/submit,834,0,0
1727366209324,820,HTTP Request,201,Created,Thread Group 2-1,text,true,,312,3158,30,54,http://127.0.0.1:4000/submit,820,0,0
1727366209337,820,HTTP Request,201,Created,Thread Group 2-10,text,true,,312,3208,30,54,http://127.0.0.1:4000/submit,820,0,0
1727366209429,746,HTTP Request,201,Created,Thread Group 2-3,text,true,,312,3182,30,54,http://127.0.0.1:4000/submit,746,0,0
1727366209459,750,HTTP Request,201,Created,Thread Group 2-2,text,true,,312,3238,30,54,http://127.0.0.1:4000/submit,750,0,0
1727366209475,767,HTTP Request,201,Created,Thread Group 2-12,text,true,,312,3160,29,53,http://127.0.0.1:4000/submit,767,0,0
1727366209489,800,HTTP Request,201,Created,Thread Group 2-13,text,true,,312,3200,29,53,http://127.0.0.1:4000/submit,800,0,0
1727366209508,804,HTTP Request,201,Created,Thread Group 2-14,text,true,,312,3240,29,53,http://127.0.0.1:4000/submit,804,0,0
1727366209596,722,HTTP Request,201,Created,Thread Group 2-15,text,true,,312,3216,29,53,http://127.0.0.1:4000/submit,722,0,0
1727366209626,699,HTTP Request,201,Created,Thread Group 2-16,text,true,,312,3200,29,53,http://127.0.0.1:4000/submit,699,0,0
1727366209657,724,HTTP Request,201,Created,Thread Group 2-18,text,true,,312,3160,29,53,http://127.0.0.1:4000/submit,724,0,0
1727366209638,706,HTTP Request,201,Created,Thread Group 2-17,text,true,,312,3216,29,53,http://127.0.0.1:4000/submit,706,0,0
1727366209681,730,HTTP Request,201,Created,Thread Group 2-19,text,true,,312,3176,29,53,http://127.0.0.1:4000/submit,730,0,0
1727366209767,692,HTTP Request,201,Created,Thread Group 2-20,text,true,,312,3176,29,53,http://127.0.0.1:4000/submit,692,0,0
1727366209836,652,HTTP Request,201,Created,Thread Group 2-22,text,true,,312,3160,29,53,http://127.0.0.1:4000/submit,652,0,0
1727366209836,659,HTTP Request,201,Created,Thread Group 2-23,text,true,,312,3240,29,53,http://127.0.0.1:4000/submit,659,0,0
1727366209836,663,HTTP Request,201,Created,Thread Group 2-21,text,true,,312,3232,29,53,http://127.0.0.1:4000/submit,663,0,0
1727366209841,676,HTTP Request,201,Created,Thread Group 2-4,text,true,,312,3214,29,53,http://127.0.0.1:4000/submit,676,0,0
1727366209864,689,HTTP Request,201,Created,Thread Group 2-9,text,true,,312,3198,29,53,http://127.0.0.1:4000/submit,689,0,0
1727366209896,685,HTTP Request,201,Created,Thread Group 2-26,text,true,,312,3224,29,53,http://127.0.0.1:4000/submit,685,0,0
1727366209936,691,HTTP Request,201,Created,Thread Group 2-11,text,true,,312,3184,29,53,http://127.0.0.1:4000/submit,691,0,0
1727366209971,689,HTTP Request,201,Created,Thread Group 2-27,text,true,,312,3208,29,53,http://127.0.0.1:4000/submit,689,0,0
1727366209974,691,HTTP Request,201,Created,Thread Group 2-28,text,true,,312,3224,29,53,http://127.0.0.1:4000/submit,691,0,0
1727366209991,679,HTTP Request,201,Created,Thread Group 2-29,text,true,,312,3232,29,53,http://127.0.0.1:4000/submit,679,0,0
1727366210008,679,HTTP Request,201,Created,Thread Group 2-5,text,true,,312,3238,29,53,http://127.0.0.1:4000/submit,679,0,0
1727366210038,689,HTTP Request,201,Created,Thread Group 2-30,text,true,,312,3168,28,52,http://127.0.0.1:4000/submit,689,0,0
1727366208947,1796,HTTP Request,201,Created,Thread Group 2-24,text,true,,312,3208,28,52,http://127.0.0.1:4000/submit,1796,0,0
1727366210111,639,HTTP Request,201,Created,Thread Group 2-6,text,true,,312,3182,28,52,http://127.0.0.1:4000/submit,639,0,0
1727366208977,1788,HTTP Request,201,Created,Thread Group 2-25,text,true,,312,3224,27,51,http://127.0.0.1:4000/submit,1788,0,0
1727366210145,651,HTTP Request,201,Created,Thread Group 2-1,text,true,,312,3174,27,51,http://127.0.0.1:4000/submit,651,0,0
1727366210158,673,HTTP Request,201,Created,Thread Group 2-10,text,true,,312,3192,26,50,http://127.0.0.1:4000/submit,673,0,0
1727366210176,658,HTTP Request,201,Created,Thread Group 2-3,text,true,,312,3222,25,49,http://127.0.0.1:4000/submit,658,0,0
1727366210290,563,HTTP Request,201,Created,Thread Group 2-13,text,true,,312,3184,24,48,http://127.0.0.1:4000/submit,563,0,0
1727366210243,595,HTTP Request,201,Created,Thread Group 2-12,text,true,,312,3192,24,48,http://127.0.0.1:4000/submit,595,0,0
1727366210312,586,HTTP Request,201,Created,Thread Group 2-14,text,true,,312,3232,22,46,http://127.0.0.1:4000/submit,586,0,0
1727366210319,593,HTTP Request,201,Created,Thread Group 2-15,text,true,,312,3200,21,45,http://127.0.0.1:4000/submit,593,0,0
1727366210326,593,HTTP Request,201,Created,Thread Group 2-16,text,true,,312,3160,20,44,http://127.0.0.1:4000/submit,592,0,0
1727366210391,548,HTTP Request,201,Created,Thread Group 2-18,text,true,,312,3240,19,43,http://127.0.0.1:4000/submit,547,0,0
1727366210391,577,HTTP Request,201,Created,Thread Group 2-17,text,true,,312,3208,18,42,http://127.0.0.1:4000/submit,577,0,0
1727366210411,591,HTTP Request,201,Created,Thread Group 2-19,text,true,,312,3160,17,41,http://127.0.0.1:4000/submit,591,0,0
1727366210460,546,HTTP Request,201,Created,Thread Group 2-20,text,true,,312,3160,16,40,http://127.0.0.1:4000/submit,546,0,0
1727366210490,520,HTTP Request,201,Created,Thread Group 2-22,text,true,,312,3208,15,39,http://127.0.0.1:4000/submit,520,0,0
1727366210496,527,HTTP Request,201,Created,Thread Group 2-23,text,true,,312,3184,14,38,http://127.0.0.1:4000/submit,527,0,0
1727366210501,568,HTTP Request,201,Created,Thread Group 2-21,text,true,,312,3160,13,37,http://127.0.0.1:4000/submit,568,0,0
1727366210518,563,HTTP Request,201,Created,Thread Group 2-4,text,true,,312,3198,12,36,http://127.0.0.1:4000/submit,563,0,0
1727366210554,533,HTTP Request,201,Created,Thread Group 2-9,text,true,,312,3222,11,35,http://127.0.0.1:4000/submit,533,0,0
1727366210582,527,HTTP Request,201,Created,Thread Group 2-26,text,true,,312,3208,10,34,http://127.0.0.1:4000/submit,527,0,0
1727366210628,512,HTTP Request,201,Created,Thread Group 2-11,text,true,,312,3224,10,34,http://127.0.0.1:4000/submit,512,0,0
1727366210661,511,HTTP Request,201,Created,Thread Group 2-27,text,true,,312,3208,9,33,http://127.0.0.1:4000/submit,511,0,0
1727366210666,509,HTTP Request,201,Created,Thread Group 2-28,text,true,,312,3216,8,32,http://127.0.0.1:4000/submit,509,0,0
1727366210672,506,HTTP Request,201,Created,Thread Group 2-29,text,true,,312,3224,7,31,http://127.0.0.1:4000/submit,506,0,0
1727366210728,462,HTTP Request,201,Created,Thread Group 2-30,text,true,,312,3224,6,30,http://127.0.0.1:4000/submit,462,0,0
1727366210743,497,HTTP Request,201,Created,Thread Group 2-24,text,true,,312,3208,5,29,http://127.0.0.1:4000/submit,497,0,0
1727366210765,484,HTTP Request,201,Created,Thread Group 2-25,text,true,,312,3184,5,29,http://127.0.0.1:4000/submit,484,0,0
1727366211110,180,HTTP Request,201,Created,Thread Group 2-26,text,true,,312,3192,5,29,http://127.0.0.1:4000/submit,180,0,0
1727366211241,183,HTTP Request,201,Created,Thread Group 2-24,text,true,,312,3168,4,28,http://127.0.0.1:4000/submit,183,0,0
1727366211250,182,HTTP Request,201,Created,Thread Group 2-25,text,true,,312,3216,4,28,http://127.0.0.1:4000/submit,182,0,0
1727366210141,1491,HTTP Request,201,Created,Thread Group 2-8,text,true,,312,3230,2,26,http://127.0.0.1:4000/submit,1491,0,0
1727366210074,1563,HTTP Request,201,Created,Thread Group 2-7,text,true,,312,3206,1,25,http://127.0.0.1:4000/submit,1562,0,0
